Questions,Queries
What is the IMDB rating of the movie Come and Get It ?,"db.movies.find({""title"": ""Come and Get It""}, { ""imdb.rating"": 1})"
What is the text description of the movie The Black Cat awards?,"db.movies.find({""title"":""The Black Cat""}, {""awards.text"":1})"
Was the movie Smilin' Through well received by audiences and critics?,"db.movies.find({""title"":""Smilin' Through""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the language of the film A Free Soul?,"db.movies.find({""title"":""A Free Soul""}, {""languages"":1})"
"Has Miss Lulu Bett won any awards? If so, which ones?","db.movies.find({""title"":""Miss Lulu Bett"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
What is the MPAA rating of Pandora's Box?,"db.movies.find({""title"":""Pandora's Box""}, {""rated"":1})"
who stars in the movie Captains Courageous?,"db.movies.find({""title"": ""Captains Courageous""}, {""cast"": 1})"
How many nominations did the movie The Life of Emile Zola receive?,"db.movies.find({""title"":""The Life of Emile Zola""}, {""awards.nominations"":1})"
What is the box office revenue for the movie 'Alice Adams'?,"db.movies.find({""title"": ""Alice Adams""}, {""tomatoes.boxOffice"": 1})"
How did the audience and critics receive the movie Bride of Frankenstein?,"db.movies.find({""title"":""Bride of Frankenstein""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What type of movie is She ?,"db.movies.find({""title"":""She""}, {""genres"":1})"
How many reviews did the movie The Iron Horse receive on Rotten Tomatoes?,"db.movies.find({""title"":""The Iron Horse""}, {""tomatoes.viewer.numReviews"": 1,""tomatoes.critic.numReviews"":1})"
What are the countries associated with the movie Freaks ?,"db.movies.find({""title"": ""Freaks""}, {""countries"": 1})"
what was the release date of the film Applause?,"db.movies.find({""title"": ""Applause""}, {""released"": 1})"
who was the film The Docks of New York written by?,"db.movies.find({""title"": ""The Docks of New York""}, {""writers"": 1})"
who are the actors in the film Freaks?,"db.movies.find({""title"": ""Freaks""}, {""cast"": 1})"
what is the plot for The Big Trail?,"db.movies.find({""title"": ""The Big Trail""}, {""plot"": 1})"
which company produced 42nd Street?,"db.movies.find({""title"":""42nd Street""}, {""tomatoes.production"":1})"
"Gold Diggers of 1935, is written by who?","db.movies.find({""title"": ""Gold Diggers of 1935""}, {""writers"": 1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie State Fair ?,"db.movies.find({""title"":""State Fair""}, {""tomatoes.viewer.meter"":1})"
who wrote I Am a Fugitive from a Chain Gang?,"db.movies.find({""title"": ""I Am a Fugitive from a Chain Gang""}, {""writers"": 1})"
who stars in the film One Hundred Men and a Girl?,"db.movies.find({""title"": ""One Hundred Men and a Girl""}, {""cast"": 1})"
How many audience reviews have been submitted for the movie Battleship Potemkin?,"db.movies.find({ ""title"": ""Battleship Potemkin"" }, { ""tomatoes.viewer.numReviews"": 1 })"
How many audience reviews have been submitted for the movie He Who Gets Slapped?,"db.movies.find({ ""title"": ""He Who Gets Slapped"" }, { ""tomatoes.viewer.numReviews"": 1 })"
How many votes did the movie College receive on IMDB?,"db.movies.find({""title"": ""College""}, { ""imdb.votes"": 1})"
What is the website associated with the movie Carnival in Flanders on Rotten Tomatoes?,"db.movies.find({""title"": ""Carnival in Flanders""}, {""tomatoes.website"": 1})"
What is the production company of the movie Bride of Frankenstein?,"db.movies.find({""title"":""Bride of Frankenstein""}, {""tomatoes.production"":1})"
what is the movie Romance description ?,"db.movies.find({""title"": ""Romance""}, {""plot"": 1})"
what is the movie Cops imdb rating?,"db.movies.find({""title"": ""Cops""}, {""imdb.rating"": 1})"
which person directed The Awful Truth?,"db.movies.find({""title"": ""The Awful Truth""}, {""directors"": 1})"
What is the movie Scarface rating?,"db.movies.find({""title"":""Scarface""}, {""rated"":1})"
