Questions,Queries
How long is the movie The Gold Rush in minutes?,"db.movies.find({""title"":""The Gold Rush""}, {""runtime"":1})"
When was the movie Triumph of the Will released?,"db.movies.find({""title"":""Triumph of the Will""}, {""released"":1})"
Which Sergei Eisenstein film has the shortest duration?,"db.movies.find({""directors"":""Sergei Eisenstein""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": 1}).limit(1)"
How many reviews have been submitted by critics for the movie He Who Gets Slapped?,"db.movies.find({ ""title"": ""He Who Gets Slapped"" }, { ""tomatoes.critic.numReviews"": 1 })"
Who are the starring actors/actresses in the movie Cleopatra?,"db.movies.find({""title"":""Cleopatra""}, {""cast"":1})"
what was the genre of the movie The Cameraman?,"db.movies.find({""title"": ""The Cameraman""}, {""genres"": 1})"
what is the full plot for the movie Viva Villa!?,"db.movies.find({""title"": ""Viva Villa!""}, {""fullplot"": 1})"
What is the title of the movie with the shortest duration that Ingmar Bergman directed?,"db.movies.find({""directors"":""Ingmar Bergman""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": 1}).limit(1)"
How did the audience and critics receive the film The Son of Kong?,"db.movies.find({""title"":""The Son of Kong""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the imdbID and year of release for the movie with a title of 'Broadway Melody of 1936'?,"db.movies.find({""title"": ""Broadway Melody of 1936""}, {""imdb.id"": 1, ""year"": 1, ""_id"": 0})"
What is the average score assigned to all Robert Bresson movies in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Robert Bresson""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
"What is the rating of the movie Laugh, Clown, Laugh on IMDb?","db.movies.find({""title"":""Laugh, Clown, Laugh""}, {""imdb.rating"":1})"
Which Coen Brothers-directed movie has the highest score on Rotten Tomatoes?,"db.movies.find({""directors"": ""Coen Brothers"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
what genre is the film Frankenstein?,"db.movies.find({""title"": ""Frankenstein""}, {""genres"": 1})"
What was the release date for the movie The Lives of a Bengal Lancer?,"db.movies.find({""title"":""The Lives of a Bengal Lancer""}, {""released"":1})"
How many reviews have been submitted by critics for the movie Freaks ?,"db.movies.find({""title"": ""Freaks""}, {""tomatoes.critic.numReviews"": 1})"
who stars in Broken Blossoms or The Yellow Man and the Girl?,"db.movies.find({""title"": ""Broken Blossoms or The Yellow Man and the Girl""}, {""cast"": 1})"
who wrote Cimarron?,"db.movies.find({""title"": ""Cimarron""}, {""writers"": 1})"
What is the critical reception of the movie Street Angel?,"db.movies.find({""title"":""Street Angel""}, {""tomatoes.critic"":1})"
Can you give me a brief summary of the movie The Crowd Roars plot?,"db.movies.find({""title"":""The Crowd Roars""}, {""plot"":1})"
In what year was the movie The Band Concert released ?,"db.movies.find({ ""title"": ""The Band Concert"" }, { ""year"": 1})"
What is the IMDb rating for the movie Zero for Conduct ?,"db.movies.find({""title"":""Zero for Conduct""}, {""imdb.rating"":1})"
How many nominations did the movie Movie Crazy receive?,"db.movies.find({""title"":""Movie Crazy""}, {""awards.nominations"":1})"
Which actor has the highest count of appearances in Federico Fellini's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Federico Fellini"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the language of the movie The Black Cat?,"db.movies.find({""title"":""The Black Cat""}, {""languages"":1})"
How long is the movie Pandora's Box in minutes?,"db.movies.find({""title"":""Pandora's Box""}, {""runtime"":1})"
What is the box office revenue of the movie The Informer ?,"db.movies.find({""title"": ""The Informer""}, { ""tomatoes.boxOffice"": 1})"
who was Hallelujah directed by?,"db.movies.find({""title"": ""Hallelujah""}, {""directors"": 1})"
Andrei Tarkovsky directed which films in the 1990s?,"db.movies.find({""directors"": 'Andrei Tarkovsky', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
How many nominations did the movie Battleship Potemkin receive?,"db.movies.find({""title"":""Battleship Potemkin""}, {""awards.nominations"":1})"
In which countries was the movie Anthony Adverse produced?,"db.movies.find({""title"":""Anthony Adverse""}, {""countries"":1})"
what genre of movie is Metropolis?,"db.movies.find({""title"": ""Metropolis""}, {""genres"": 1})"
"Was the movie Steamboat Bill, Jr. well received by audiences?","db.movies.find({""title"":""Steamboat Bill, Jr.""}, {""tomatoes.viewer"":1})"
what year was the movie The Crowd Roars released?,"db.movies.find({""title"": ""The Crowd Roars""}, {""year"": 1})"
the movie The Ace of Hearts was directed by who?,"db.movies.find({""title"": ""The Ace of Hearts""}, {""directors"": 1})"
the film The Song of Night starred who?,"db.movies.find({""title"": ""The Song of Night""}, {""cast"": 1})"
What is the production company of Robin Hood?,"db.movies.find({""title"":""Robin Hood""}, {""tomatoes.production"":1})"
what type of movie is 7th Heaven?,"db.movies.find({""title"": ""7th Heaven""}, {""genres"": 1})"
which person wrote the film Flesh and the Devil?,"db.movies.find({""title"": ""Flesh and the Devil""}, {""writers"": 1})"
How long is the movie The Blue Bird in minutes?,"db.movies.find({""title"":""The Blue Bird""}, {""runtime"":1})"
